Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,-790.0,735.0,,920.0,,,,,
Free Cash Flow Growth % YOY,,,-810.0,95.0,,701.0,,,,,
Cap Ex as a % of Sales,172.38,0.12,0.27,4.61,,1.35,1.09,132.22,124.93,164.28,147.17
Free Cash Flow/Sales %,-64.28,75.61,70.02,68.37,72.5,66.02,65.42,-64.98,-57.28,-91.4,-74.67
Free Cash Flow/Net Income,-1.35,1.86,1.72,1.74,1.9,2.01,2.08,-2.24,-2.07,-3.2,-2.54
