Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,,,33.74,31.47,34.63,39.52,46.75,54.92,58.58,61.09,62.22
Gross Margin,,,66.26,68.53,65.37,60.48,53.25,45.08,41.42,38.91,37.78
SG&A,,,15.25,21.37,18.1,17.97,18.35,18.67,19.23,18.79,18.93
R&D,,,,,,,,,,,
Other,,,,,4.03,5.06,5.03,8.85,5.54,5.21,6.01
Operating Margin,,,52.24,47.17,43.24,37.44,30.33,18.1,17.67,15.4,13.29
Net Int Inc & Other,,,-0.63,1.05,-0.03,-0.04,,,-6.51,-6.68,-6.25
EBT Margin,,,51.61,48.21,43.21,37.4,30.33,18.1,11.16,8.72,7.05
