Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,196.18,-39.2,33.49,24.02,-11.14,-2.84,3.51,-28.23,-10.85,15.63
3-Year Average,,,,33.96,0.22,13.73,2.3,-3.68,-10.3,-12.83,
5-Year Average,,,,,,21.51,-2.77,8.15,-4.47,-10.58,
10-Year Average,,,,,,,,,,,
