Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,-20.38,-2.78,42.88,-0.1,16.83,-4.15,-11.6,-12.72,32.26,13.85,
3-Year Average,7.34,-5.21,3.42,11.54,18.59,3.81,-0.33,-9.57,0.68,9.54,
5-Year Average,6.88,2.05,11.43,3.98,5.24,9.22,7.16,-2.9,2.7,2.18,
10-Year Average,17.17,16.56,10.93,11.46,13.9,8.04,4.58,4.02,3.34,3.7,
