Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,39.78,26.14,31.4,13.38,5.48,15.71,15.45,122.2,31.13,-6.89,-13.17
3-Year Average,47.26,38.04,32.32,23.4,16.26,11.44,12.11,43.71,49.84,39.47,
5-Year Average,55.4,43.8,39.55,31.41,22.61,18.06,15.99,28.84,32.64,29.37,
10-Year Average,59.38,66.49,45.14,44.85,43.05,35.45,29.15,34.09,32.03,25.95,
