Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,,,-17.61,40.07,33.42,-2.78,16.94,-32.61,-11.21,29.7,63.0
3-Year Average,,,,,15.47,22.02,14.9,-8.49,-11.22,-8.1,
5-Year Average,,,,,,,11.85,7.44,-1.92,-2.47,
10-Year Average,,,,,,,,,,,
