Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,79.76,-68.43,,,285.94,-71.15,,,-49.43,266.05,
3-Year Average,,-46.68,,-35.76,47.99,,,38.26,66.7,,
5-Year Average,,,,-33.78,12.96,-21.65,,,38.84,37.37,
10-Year Average,,,,,,,,,-4.12,24.57,
