Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,8.9,10.36,-3.11,34.12,0.24,11.35,9.69,5.32,13.23,12.7,2.79
3-Year Average,25.81,16.64,5.21,12.77,9.21,14.39,6.98,8.76,9.37,10.36,
5-Year Average,,24.35,16.32,15.57,9.38,9.87,9.73,11.58,7.86,10.42,
10-Year Average,,,,,,,16.81,13.93,11.65,9.9,
