Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,21.8,-3.07,4.09,6.51,-32.6,24.14,23.26,15.89,8.56,0.81,
Free Cash Flow Growth % YOY,26.88,-7.54,14.79,6.44,-42.71,29.39,28.67,16.0,11.48,0.5,
Cap Ex as a % of Sales,2.22,2.42,1.97,2.01,2.18,2.35,2.42,2.71,2.78,2.79,2.42
Free Cash Flow/Sales %,9.09,7.95,10.8,10.98,5.57,6.99,8.67,9.75,11.36,11.2,12.29
Free Cash Flow/Net Income,1.29,1.04,2.16,1.76,0.98,0.9,0.86,0.93,0.92,0.92,0.96
