Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,17.25,15.3,14.28,14.75,17.38,18.53,17.92,22.04,19.51,18.1,17.72
Gross Margin,82.75,84.7,85.72,85.25,82.62,81.47,82.08,77.96,80.49,81.9,82.28
SG&A,22.75,25.25,26.09,26.46,28.87,27.88,27.76,23.42,22.37,22.02,20.71
R&D,22.11,20.2,19.56,19.23,20.32,19.58,21.86,21.42,18.79,16.7,15.63
Other,10.94,4.49,2.47,2.73,5.75,1.71,1.05,2.26,0.23,0.58,1.56
Operating Margin,26.94,34.75,37.6,36.84,27.67,32.3,31.41,30.86,39.1,42.6,44.38
Net Int Inc & Other,-0.13,-1.33,-2.06,-1.51,-1.04,-3.29,-3.22,-3.02,-2.27,-2.74,-2.38
EBT Margin,26.82,33.43,35.54,35.32,26.63,29.01,28.19,27.84,36.83,39.85,42.0
