Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,2.6,-9.09,32.39,9.58,4.15,11.85,-39.28,88.9,6.34,4.53,-14.94
3-Year Average,5.31,-0.38,7.29,9.66,14.75,8.48,-10.9,8.66,6.84,28.05,
5-Year Average,9.04,0.52,7.05,7.48,7.1,8.97,0.52,7.92,7.28,7.36,
10-Year Average,11.84,5.31,8.03,13.65,7.22,9.0,0.52,7.48,7.38,7.23,
