Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,27.75,-54.16,52.52,64.92,-19.62,45.2,29.5,-2.4,24.34,-6.3,-48.9
3-Year Average,13.1,-6.24,-3.7,4.86,26.45,24.39,14.76,22.43,16.26,4.38,
5-Year Average,19.28,-8.89,0.23,15.7,3.44,6.12,30.62,19.46,12.9,16.41,
10-Year Average,19.31,5.53,16.15,12.76,24.75,12.51,9.09,9.42,14.29,9.73,
