Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,-23.71,-48.58,17.74,25.44,16.33,16.79,18.74,17.83,10.46,13.53,
3-Year Average,-4.21,-27.12,-22.7,-8.76,19.77,19.45,17.28,17.78,15.62,13.9,
5-Year Average,3.71,-12.09,-11.86,-10.58,-7.59,0.63,18.96,18.98,15.99,15.43,
10-Year Average,14.25,3.42,1.38,2.61,2.46,2.16,2.27,2.41,1.84,3.28,
