Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,,,,,,
Net Margin %,,,2.2,0.98,10.11,7.19,5.9,4.06,5.64,0.35,1.98
Asset Turnover (Average),,,,,2.1,3.66,3.62,3.57,2.23,1.96,2.27
Return on Assets %,,,,,21.23,26.33,21.39,14.49,12.63,0.68,4.48
Financial Leverage (Average),,,,,2.22,2.3,1.66,1.67,1.71,1.8,1.77
Return on Equity %,,,,,47.15,59.55,40.96,24.14,21.32,1.19,7.87
Return on Invested Capital %,,,,,30.5,40.93,30.58,18.98,17.13,3.17,7.99
Interest Coverage,,,3.97,1.77,8.62,8.81,14.39,11.49,7.84,1.35,3.28
