Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,-4.36,-23.24,60.66,-2.63,-39.78,120.96,24.51,14.57
3-Year Average,,,,,,5.66,6.29,-1.97,9.02,18.33,
5-Year Average,,,,,,,,-7.11,9.83,20.98,
10-Year Average,,,,,,,,,,,
