Key Profitability,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tax Rate %,,,,,,,,16.0,6.57,1.67,1.29
Net Margin %,,,,,,,,15.72,5.88,14.57,18.48
Asset Turnover (Average),,,,,,,,,0.31,0.3,0.3
Return on Assets %,,,,,,,,,1.8,4.32,5.5
Financial Leverage (Average),,,,,,,,,1.29,1.3,1.29
Return on Equity %,,,,,,,,,2.34,5.6,7.06
Return on Invested Capital %,,,,,,,,,2.34,5.6,7.06
Interest Coverage,,,,,,,,,,,
