Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,,,,-53.21,-49.15,,,-66.2,89.36,-12.76,
Free Cash Flow Growth % YOY,,,,-66.6,-58.38,,,-58.25,23.25,14.3,
Cap Ex as a % of Sales,3.12,0.36,0.2,0.64,0.5,0.55,6.7,0.23,5.06,2.19,2.19
Free Cash Flow/Sales %,-47.88,-5.3,5.51,1.42,0.65,-27.47,24.22,6.94,8.61,10.31,10.31
Free Cash Flow/Net Income,0.92,-10.29,1.24,2.47,-0.02,-0.47,-1.02,0.34,0.63,0.62,0.62
