Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,,,,,,,,,1182.98,-34.49,
3-Year Average,,,,,,,,49.74,,,
5-Year Average,,,,,,,,,,95.03,
10-Year Average,,,,,,,,,,,
