Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,17.5,-56.17,111.17,52.41,15.08,19.14,-5.06,-33.14,-16.64,27.1
3-Year Average,,16.99,-16.9,2.84,12.15,54.72,27.85,9.19,-8.89,-19.12,
5-Year Average,,28.92,-5.82,8.19,13.05,13.79,14.1,33.18,5.81,-6.22,
10-Year Average,,8.49,14.98,15.5,,27.64,21.28,11.99,6.99,2.97,
