Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,59.68,34.85,-84.64,312.2,146.15,2.88,-7.48,-10.35,13.24,20.65,
3-Year Average,28.19,43.69,-30.85,-5.14,15.93,118.55,32.82,-5.15,-2.07,6.99,
5-Year Average,25.74,28.57,-15.29,13.43,27.39,16.67,8.2,53.99,18.92,3.12,
10-Year Average,,20.03,-6.11,13.41,21.99,21.12,17.95,14.21,16.14,14.61,
