Key Efficiency Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Days Sales Outstanding,,6216.39,,,,130.88,144.26,79.31,201.01,987.94,987.94
Days Inventory,,,,,,,,,,,
Payables Period,,,,,,979.73,14467.19,160.34,160.93,204.47,204.47
Cash Conversion Cycle,,,,,,,,,,,
Receivables Turnover,,0.06,,,,2.79,2.53,4.6,1.82,0.37,0.37
Inventory Turnover,,,,,,,,,,,
Fixed Assets Turnover,,0.01,,,,0.02,0.08,0.07,0.02,0.06,0.06
Asset Turnover,,0.01,,,,0.01,0.03,0.05,0.01,,
