Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,16.92,31.4,-17.4,47.47,21.52,23.07,13.91,22.08,-4.52,-7.65,10.29
3-Year Average,44.29,33.11,8.27,16.97,13.96,30.16,19.43,19.61,9.91,2.49,
5-Year Average,6.47,8.5,26.67,23.5,17.86,19.07,15.72,25.12,14.7,8.58,
10-Year Average,14.79,,8.82,12.72,13.55,12.6,12.05,25.89,19.02,13.12,
