Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,-11.02,-12.72,-0.43,38.66,-2.83,-23.2,11.79,14.14,49.69,
Free Cash Flow Growth % YOY,,-10.58,-14.6,-5.49,41.31,-7.84,-21.59,18.25,12.77,55.38,
Cap Ex as a % of Sales,4.18,3.12,4.06,4.46,4.99,6.16,4.64,3.58,3.86,3.48,2.74
Free Cash Flow/Sales %,41.4,32.65,33.88,24.83,31.62,27.9,23.76,27.47,26.79,34.09,37.46
Free Cash Flow/Net Income,1.81,1.34,2.58,1.22,1.6,1.48,3.32,4.24,2.04,1.71,1.62
