Key Profitability,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tax Rate %,28.59,35.58,32.88,23.93,24.07,20.31,22.59,22.26,18.29,19.85,19.98
Net Margin %,2.05,1.61,1.35,3.4,2.34,2.77,2.75,2.9,3.2,3.18,2.95
Asset Turnover (Average),6.46,6.16,5.53,4.52,3.68,3.41,2.98,2.68,2.38,2.25,1.28
Return on Assets %,13.23,9.89,7.44,15.36,8.59,9.43,8.18,7.76,7.63,7.16,3.77
Financial Leverage (Average),,,,,,,,,20.72,11.56,49.39
Return on Equity %,,,,,,,,,309.62,105.03,300.98
Return on Invested Capital %,,,,,,,,,124.04,65.74,258.25
Interest Coverage,280.44,329.58,,,,,,,180.65,,
