Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,16.17,-5.77,49.34,2.25,-5.32,-0.21,-0.44,-2.49,-0.7,2.27,2.65
3-Year Average,18.31,7.24,17.8,12.89,13.08,-1.14,-2.02,-1.05,-1.21,-0.32,
5-Year Average,19.24,15.12,18.44,13.5,9.62,6.34,7.51,-1.27,-1.85,-0.32,
10-Year Average,15.58,13.55,16.28,12.04,12.84,12.6,11.25,8.13,5.54,4.53,
