Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,,65.0,49.09,450.81,12.77,26.7,11.83,-63.14,66.29,-10.4,
Free Cash Flow Growth % YOY,,,,,-43.88,237.03,-10.88,-70.82,159.18,-38.35,
Cap Ex as a % of Sales,0.53,2.06,2.63,2.75,6.74,0.35,3.25,1.5,0.24,1.85,1.85
Free Cash Flow/Sales %,0.43,-0.63,-0.74,7.62,3.89,12.69,11.22,2.38,5.34,3.57,3.57
Free Cash Flow/Net Income,-0.45,-0.21,-0.14,1.21,0.62,2.56,1.76,-6.2,1.16,-0.11,-0.11
