Key Efficiency Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Days Sales Outstanding,,,,,,17.67,,,,,
Days Inventory,,,,,,,,,,,
Payables Period,,,,232.3,347.64,387.79,325.95,302.12,230.95,213.54,231.19
Cash Conversion Cycle,,,,,,,,,,,
Receivables Turnover,,,,,,20.65,,,,,
Inventory Turnover,,,,,,,,,,,
Fixed Assets Turnover,,0.18,0.18,0.2,0.17,0.15,0.16,0.17,0.17,0.17,0.18
Asset Turnover,0.17,0.16,0.16,0.18,0.15,0.14,0.15,0.15,0.15,0.15,0.15
