Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,,,,,,,,,,,
Gross Margin,,,,,,,,,,,
SG&A,64.45,252.02,74.22,76.4,85.87,90.0,65.37,66.31,68.05,81.85,76.12
R&D,,,,,,,,,,,
Other,,,,,,,18.15,19.16,40.77,28.06,-76.12
Operating Margin,34.94,-160.79,24.26,23.85,13.41,9.28,15.84,13.82,-10.18,-11.15,-2.64
Net Int Inc & Other,-0.61,-8.77,-1.52,0.25,-0.72,-0.72,-0.65,-0.71,-1.36,-1.24,
EBT Margin,34.94,-160.79,24.26,23.85,13.41,9.28,15.84,13.82,-10.18,-11.15,100.0
