Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,57.7,72.94,54.12,49.37,52.3,64.19,69.96,92.47,187.68,118.54,81.17
Gross Margin,42.3,27.06,45.88,50.63,47.7,35.81,30.04,7.53,-87.68,-18.54,18.83
SG&A,2.75,1.51,2.13,2.01,1.99,2.39,3.14,2.9,3.82,4.09,3.59
R&D,0.86,1.64,,,1.3,1.58,1.0,0.53,0.73,0.43,0.5
Other,,95.33,0.51,0.85,0.64,-0.45,0.32,5.59,0.27,-4.24,-3.49
Operating Margin,38.7,-71.42,43.24,47.77,43.77,32.28,25.58,-1.49,-92.5,-18.83,18.23
Net Int Inc & Other,-2.62,-3.37,-4.57,-2.93,-1.54,-1.82,-2.09,-2.51,-4.22,-4.59,-5.08
EBT Margin,36.08,-74.79,38.67,44.84,42.23,30.47,23.48,-4.0,-96.72,-23.41,13.15
