Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,18.06,-2.79,-9.99,8.5,8.58,5.96,8.61,7.21,8.83,8.11,6.81
3-Year Average,15.77,7.41,1.09,-1.71,1.98,7.67,7.71,7.26,8.21,8.05,
5-Year Average,15.61,13.19,6.31,3.89,4.01,1.78,4.06,7.77,7.83,7.74,
10-Year Average,19.93,15.69,10.84,8.85,8.91,8.48,8.53,7.04,5.84,5.86,
