Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-7.03,10.66,-30.12,47.94,,,,69.85,-34.28,26.57,
3-Year Average,6.23,2.24,-10.42,4.58,,,-6.86,,,12.21,
5-Year Average,0.39,8.16,-1.51,2.01,,,-3.53,15.22,-2.04,,
10-Year Average,4.6,6.16,3.14,,,,2.14,6.53,-0.04,1.96,
