Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,,,,,,,,0.0,0.0,0.0,0.0
Gross Margin %,,,,,,,,,,,
Operating Income AUD Mil,,,,,,,,-2.0,-2.0,-4.0,-4.0
Operating Margin %,,,,,,,,,,,
Net Income AUD Mil,,,,,,,,-2.0,-2.0,-4.0,-4.0
Earnings Per Share AUD,,,,,,,,-0.01,,-0.01,-0.01
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,,,,,,267.0,658.0,693.0,693.0
Book Value Per Share * AUD,,,,,,,,,,0.02,0.02
Operating Cash Flow AUD Mil,,,,,,,,-2.0,-2.0,-4.0,-4.0
Cap Spending AUD Mil,,,,,,,,-0.0,,-0.0,-0.0
Free Cash Flow AUD Mil,,,,,,,,-2.0,-2.0,-4.0,-4.0
Free Cash Flow Per Share * AUD,,,,,,,,,,,
Working Capital AUD Mil,,,,,,,,1.0,-0.0,2.0,
