Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,10.8,-67.15,-14.29,-35.9,,,23.39,18.95,
3-Year Average,,,,,-32.18,-43.49,,25.72,56.39,,
5-Year Average,,,,,,,,-10.96,16.01,23.87,
10-Year Average,,,28.54,,,,,,,,
