Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,77.21,55.64,6.74,-3.59,38.1,7.6,35.54,57.25,23.65,5.3,16.01
3-Year Average,161.88,72.6,43.32,17.0,12.43,12.73,26.29,31.88,38.13,26.98,
5-Year Average,21.32,,97.22,39.54,31.42,18.94,15.69,25.01,31.39,24.46,
10-Year Average,18.0,20.33,15.14,14.29,16.95,20.12,,57.02,35.41,27.89,
