Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,131.99,,,,86.68,-97.86,3102.56,89.99,117.7,-16.03,-32.76
3-Year Average,,,,-2.0,,,8.57,9.21,409.76,51.44,
5-Year Average,,,,,32.45,-48.11,,,39.55,18.95,
10-Year Average,-1.92,,,4.08,,,,,,25.52,
