Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,-59.95,-57.31,652.78,-60.4,133.11,-5.67,-45.42,-90.76,2652.14,
Free Cash Flow Growth % YOY,,-67.66,,,-66.33,167.43,-1.32,-46.99,,,
Cap Ex as a % of Sales,2.09,2.34,5.02,1.33,1.78,1.6,0.68,0.63,1.03,3.05,1.11
Free Cash Flow/Sales %,19.0,6.25,-1.82,23.66,7.33,19.27,19.42,9.5,-0.1,22.4,43.85
Free Cash Flow/Net Income,1.77,0.59,-0.15,1.55,0.44,1.13,1.29,1.02,-0.01,1.57,2.96
