Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,11.76,4.09,6.38,-12.13,28.87,12.1,6.0,-1.68,-6.49,3.39,
Free Cash Flow Growth % YOY,-10.74,-26.63,91.1,-36.64,27.27,-13.07,56.82,31.44,-3.22,14.64,
Cap Ex as a % of Sales,14.64,14.92,15.1,13.72,15.97,19.42,16.94,13.76,14.3,13.91,12.41
Free Cash Flow/Sales %,6.19,3.96,9.11,5.11,5.85,5.1,7.52,9.61,10.59,12.42,13.93
Free Cash Flow/Net Income,0.49,0.35,0.65,0.43,0.39,0.34,0.51,0.7,0.74,0.87,0.96
