Key Profitability,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tax Rate %,,,,,,37.53,36.61,37.55,30.97,36.16,36.58
Net Margin %,,,,,,6.0,7.22,6.19,2.05,6.09,6.35
Asset Turnover (Average),,,,,,,1.85,1.86,1.21,1.03,1.02
Return on Assets %,,,,,,,13.37,11.5,2.49,6.25,6.47
Financial Leverage (Average),,,,,,,1.96,2.03,75.08,14.81,11.22
Return on Equity %,,,,,,,26.27,22.94,15.4,154.1,101.61
Return on Invested Capital %,,,,,,,22.84,20.01,4.13,13.38,13.45
Interest Coverage,,,,,,,,,,5.67,5.85
