Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,,,,,,711.43,,,,,
3-Year Average,,24.7,,,-85.57,,,,,,
5-Year Average,,,,,-76.11,,,,,145.43,
10-Year Average,,0.79,,,,-12.54,,,,-23.43,
