Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,,,,,
COGS,6.52,33.12,,,134.79,149.32,,,,,
Gross Margin,93.48,66.88,,,-34.79,-49.32,,,,,
SG&A,35.77,88.48,110.26,79.49,156.62,528.43,,,,,
R&D,,,,,,,,,,,
Other,125.69,478.53,217.28,324.74,430.17,191.99,,,,,
Operating Margin,-67.98,-500.13,-227.55,-304.23,-621.58,-769.74,,,,,
Net Int Inc & Other,-2.35,9.47,7.83,3.88,2.06,5.01,,,,,
EBT Margin,-70.33,-490.65,-219.71,-300.34,-619.52,-764.73,,,,,
