Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,12.38,-10.17,9.97,9.15,-2.6,0.48,2.77,-1.07,4.3,8.2
3-Year Average,,9.72,3.58,3.55,2.55,5.35,2.22,0.19,0.71,1.97,
5-Year Average,,16.87,6.23,5.47,5.93,3.37,1.08,3.84,1.66,0.74,
10-Year Average,,17.15,14.17,14.37,13.29,13.42,8.69,5.03,3.55,3.31,
