Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,77.65,,,-28.46,-14.75,-7.55,15.47,38.9,11.46,22.4,
Free Cash Flow Growth % YOY,300.0,,,-35.68,-25.65,-35.22,8.15,83.1,27.4,42.63,
Cap Ex as a % of Sales,3.49,4.61,3.92,3.17,3.17,4.11,4.49,5.18,4.81,4.61,4.55
Free Cash Flow/Sales %,6.41,-4.74,9.87,5.73,4.05,2.66,2.62,4.89,6.0,8.43,6.93
Free Cash Flow/Net Income,-4.06,0.47,4.23,1.13,0.27,0.63,0.32,5.72,1.22,2.79,2.42
