Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,56.4,60.39,19.3,34.79,33.55,13.73,17.93,18.12,20.67,21.32,10.2
3-Year Average,55.0,61.33,44.1,37.14,29.02,26.98,21.44,16.57,18.9,20.03,
5-Year Average,59.6,52.71,48.1,46.52,40.04,31.4,23.56,23.32,20.62,18.32,
10-Year Average,104.48,89.38,58.91,45.67,45.45,44.82,37.37,35.14,32.94,28.73,
