Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,17.58,5.43,-16.36,32.19,18.54,-1.26,7.71,-0.65,-11.0,-3.58,25.96
3-Year Average,17.43,13.35,1.21,5.24,9.44,15.66,8.03,1.86,-1.61,-5.18,
5-Year Average,14.11,15.35,7.38,10.0,10.19,6.41,6.87,10.61,2.2,-1.94,
10-Year Average,7.86,8.2,6.6,11.41,11.92,10.2,11.03,8.99,6.02,3.95,
