Key Cash Flow Ratios,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Operating Cash Flow Growth % YOY,,,,,,,,,,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,,,,,,,,,,38.64,12.14
Free Cash Flow/Sales %,,,,,,,,,,-17.83,9.52
Free Cash Flow/Net Income,,,3.02,1.19,2.45,2.03,6.75,3.75,-31.13,3.97,7.94
