Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,-345.0,,,-181.0,,,555.0,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,14.74,17.12,16.83,15.23,15.26,16.98,20.54,18.72,24.33,30.48,29.5
Free Cash Flow/Sales %,-2.89,-12.49,2.09,2.64,9.08,4.35,0.11,3.19,1.78,-1.83,-2.22
Free Cash Flow/Net Income,-0.41,-1.41,0.31,0.35,1.1,0.46,0.01,0.38,0.19,-0.18,-0.22
