Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,,975.0,,,,-128.0,,,,,
Free Cash Flow Growth % YOY,-638.0,,,,,,,,,,
Cap Ex as a % of Sales,4.61,2.83,3.15,3.04,3.77,4.22,4.21,3.79,3.1,2.73,2.62
Free Cash Flow/Sales %,4.05,5.85,7.96,5.78,6.58,4.94,5.91,6.99,1.94,5.35,4.87
Free Cash Flow/Net Income,0.85,1.18,1.3,0.86,0.89,0.59,0.78,1.0,1.06,1.24,1.05
