Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,12.34,9.57,-0.04,33.79,14.98,-1.52,1.41,0.4,-5.44,-0.41,1.33
3-Year Average,10.49,9.92,7.16,13.58,15.42,14.85,4.72,0.09,-1.26,-1.85,
5-Year Average,9.47,9.91,8.12,12.18,13.61,10.66,8.96,9.05,1.74,-1.14,
10-Year Average,6.56,6.83,7.82,10.96,9.46,10.06,9.43,8.59,6.83,5.98,
