Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,-61.72,37.42,302.97,-24.82,-70.92,338.2,13.33
3-Year Average,,,,,,,28.46,60.87,-4.13,-1.41,
5-Year Average,,,,8.79,-30.75,,,,-14.25,39.62,
10-Year Average,,,,-0.75,-8.77,-6.77,21.51,1.33,-3.42,-1.67,
