Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,5.59,9.11,15.67,3.23,-6.19,10.26,2.96,0.53,-48.77,0.43,
Free Cash Flow Growth % YOY,-2.66,-3.22,21.4,7.65,-8.97,4.74,-13.98,-21.28,-44.12,27.04,
Cap Ex as a % of Sales,6.14,7.73,8.07,7.5,6.91,8.33,16.2,17.71,9.14,7.07,5.85
Free Cash Flow/Sales %,14.32,12.64,15.09,15.88,13.37,13.96,17.77,12.29,7.38,9.2,13.67
Free Cash Flow/Net Income,0.94,0.78,0.86,1.44,0.83,0.84,0.83,0.53,0.76,0.19,1.38
