Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-3.1,-5.88,-31.98,46.31,28.75,20.76,10.32,9.47,13.99,1.14,
3-Year Average,13.37,-1.09,-14.72,-2.16,8.61,31.52,19.7,13.4,11.24,8.07,
5-Year Average,32.69,16.01,-1.38,-0.75,3.16,7.81,11.29,22.4,16.44,10.95,
10-Year Average,34.06,15.66,15.64,18.66,22.8,19.6,13.62,9.87,7.5,6.99,
