Key Efficiency Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Days Sales Outstanding,,,,,22.16,19.82,20.12,18.36,25.62,44.14,45.48
Days Inventory,,,,,,,,4.26,,,
Payables Period,,,,,117.59,114.91,110.29,61.8,81.67,112.28,123.87
Cash Conversion Cycle,,,,,,,,-39.18,,,
Receivables Turnover,,,,,16.47,18.41,18.14,19.89,14.25,8.27,8.03
Inventory Turnover,,,,,,,,85.61,,,
Fixed Assets Turnover,,,,,,,,75.95,115.29,120.21,116.68
Asset Turnover,,,,,0.04,0.04,0.04,0.1,0.09,0.08,0.08
