Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-58.94,-18.57,-90.17,675.28,283.05,-18.15,45.14,0.4,-73.3,23.91,
3-Year Average,,,-67.97,-14.72,42.9,189.67,65.71,6.05,-27.0,-30.75,
5-Year Average,,,,,-0.49,14.23,28.23,104.1,4.05,-16.97,
10-Year Average,,,,,,,,,,-9.11,
