Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-0.45,2.29,-2.07,9.55,7.76,0.01,-26.09,17.85,-22.01,43.7,
3-Year Average,7.98,-17.05,-0.09,3.15,4.95,5.69,-7.3,-4.5,-12.09,9.72,
5-Year Average,12.85,22.63,4.75,-9.35,3.32,3.41,-3.1,0.56,-6.05,-0.48,
10-Year Average,12.46,12.21,24.07,8.68,13.51,8.03,9.01,2.63,-7.71,1.4,
