Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-2.11,-26.26,26.34,2.7,-56.39,,,-1.96,2.12,-43.81,73.91
3-Year Average,3.06,3.86,-3.02,-1.46,-17.29,,-8.47,19.91,,-17.45,
5-Year Average,16.78,-3.5,0.39,7.77,-16.4,,-0.1,-5.04,-5.15,-0.21,
10-Year Average,,,,43.87,60.86,,-1.81,-2.36,1.1,-8.66,
