Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,17.07,16.08,34.28,36.3,36.92,37.14,37.42,35.79,34.4,36.5,36.72
Gross Margin,82.93,83.92,65.72,63.7,63.08,62.86,62.58,64.21,65.6,63.5,63.28
SG&A,56.06,58.4,40.38,39.09,38.03,34.65,35.52,40.67,39.87,35.67,35.64
R&D,,,,,,,,,,,
Other,21.41,23.41,19.58,18.56,17.58,18.19,18.68,19.6,19.62,19.47,19.62
Operating Margin,5.47,2.1,5.75,6.05,7.46,10.01,8.37,3.93,6.11,8.35,8.02
Net Int Inc & Other,-0.16,-0.2,-0.3,-0.29,-0.11,-0.22,-0.34,-0.51,-0.67,-0.76,-0.77
EBT Margin,5.31,1.91,5.45,5.76,7.36,9.8,8.03,3.43,5.44,7.59,7.25
