Key Profitability,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Tax Rate %,,,,29.0,28.0,26.49,,,,,
Net Margin %,,,,,,0.45,-9.65,-15.56,-8.85,-7.14,-7.96
Asset Turnover (Average),,,,,,2.9,1.9,1.6,2.06,2.24,2.68
Return on Assets %,,,,0.13,0.32,1.29,-18.31,-24.98,-18.24,-16.02,-21.31
Financial Leverage (Average),,,,1.05,1.15,2.72,6.09,,,,
Return on Equity %,,,,0.14,0.35,2.68,-69.92,-374.78,,,
Return on Invested Capital %,,,,0.47,1.08,11.01,-54.13,-286.44,,,
Interest Coverage,,,,1.42,1.49,1.31,-3.24,-3.07,,,
