Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,8.84,-35.69,-17.91,9.77,22.85,15.36,10.08,8.27,7.66,6.7,8.78
3-Year Average,10.48,-7.89,-16.86,-16.63,3.45,15.87,15.98,11.2,8.67,7.54,
5-Year Average,4.55,-1.49,-6.57,-6.77,-4.97,-3.86,7.05,13.14,12.71,9.57,
10-Year Average,5.84,-1.57,-2.46,-3.08,-2.16,0.26,2.69,2.82,2.5,2.04,
