Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-7.17,-2.6,-7.56,9.43,12.84,11.99,60.19,5.54,2.07,-0.48,-16.17
3-Year Average,-6.41,-5.59,-5.81,-0.5,4.51,11.41,26.5,23.71,19.95,2.35,
5-Year Average,0.38,,-5.89,-3.17,0.63,4.48,15.41,18.51,16.88,13.97,
10-Year Average,2.4,,2.28,-4.28,-3.82,2.41,,5.61,6.38,7.1,
