Key Profitability,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tax Rate %,,,27.07,51.41,,36.65,,,,,
Net Margin %,,,1.77,1.51,-7.03,3.61,-2.14,5.29,3.61,-5.52,-5.02
Asset Turnover (Average),,,,0.6,0.71,0.73,0.7,0.69,0.66,0.52,0.57
Return on Assets %,,,,0.91,-4.99,2.66,-1.49,3.69,2.39,-2.85,-2.87
Financial Leverage (Average),,,,5.0,7.21,4.33,7.81,6.21,19.71,2.42,2.49
Return on Equity %,,,,4.53,-29.24,14.29,-8.33,25.64,23.59,-8.73,-9.11
Return on Invested Capital %,,,,3.42,-6.72,6.49,-0.76,7.73,5.88,-1.94,-1.81
Interest Coverage,,,3.3,3.38,-2.87,5.13,0.37,4.27,2.23,-1.95,-1.81
