Key Profitability,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tax Rate %,,,,,,,,,,,
Net Margin %,,,,,,,,,,,
Asset Turnover (Average),,,,,,,,,,,
Return on Assets %,-8.14,-20.04,-25.85,-6.45,-12.94,-30.95,-11.79,-73.86,-12.42,-10.91,-10.91
Financial Leverage (Average),1.09,1.01,1.11,1.04,1.03,1.05,1.08,1.27,1.39,1.59,1.59
Return on Equity %,-8.76,-21.11,-27.39,-6.82,-13.42,-32.22,-12.5,-83.78,-16.49,-16.22,-16.22
Return on Invested Capital %,-10.82,-21.7,-27.84,-6.32,-11.65,-30.23,-10.67,-73.91,-9.87,-7.98,-7.98
Interest Coverage,,,,-16.11,-7.17,-29.23,-8.31,-37.15,-3.15,-2.11,-2.11
