Key Efficiency Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Days Sales Outstanding,,,,,,,,,,,84.92
Days Inventory,,,,,,,,,,,12.66
Payables Period,,,,,,,,,,,24.01
Cash Conversion Cycle,,,,,,,,,,,73.57
Receivables Turnover,,,,,,,,,,,4.3
Inventory Turnover,,,,,,,,,,,28.84
Fixed Assets Turnover,,,0.4,0.39,0.49,0.85,0.96,0.9,0.88,0.84,0.84
Asset Turnover,,,0.34,0.33,0.4,0.66,0.71,0.66,0.64,0.61,0.63
