Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,3.57,20.26,-1.61,-21.14,-10.72,12.29,8.73,10.32,23.09,3.56,11.48
3-Year Average,12.03,12.84,7.01,-2.28,-11.52,-7.54,2.91,10.43,13.87,12.03,
5-Year Average,9.66,15.11,10.72,2.2,-2.91,-1.33,-3.3,-1.06,8.16,11.41,
10-Year Average,8.44,8.92,7.37,3.09,1.9,4.02,5.51,4.66,5.14,4.01,
