Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,37.67,-12.55,7.65,1.41,11.98,-17.43,15.48,4.62,-2.4,14.3,
Free Cash Flow Growth % YOY,54.77,-13.29,11.21,-1.88,16.28,-22.06,12.32,8.01,-6.13,12.31,
Cap Ex as a % of Sales,3.16,2.87,2.54,2.82,2.36,3.0,3.6,3.07,3.31,3.8,4.05
Free Cash Flow/Sales %,17.2,14.81,16.3,14.52,15.67,13.71,14.22,14.35,12.63,13.37,12.22
Free Cash Flow/Net Income,1.22,0.98,1.2,1.14,1.2,0.92,0.96,1.08,0.99,0.95,0.87
